SampleID,GroupLevel2,GroupLevel2_mapped,train,ProjectID
DB247P0780-G1CHH22GXF1-R007,Lung,LungImg,valid,20240728_R007_QiagenExtractSOP_test
DB247P0781-G1CHH22GXF1-R007,Liver_Biliary,Abdominal,valid,20240728_R007_QiagenExtractSOP_test
DB247P0783-G1CHH22GXF1-R007,Colorectal,Endoscopy,valid,20240728_R007_QiagenExtractSOP_test
PA209F0085-C5CHH22KXF2-KZ41,Lymphoma,Blood,valid,KZ41
PA210C0487-J1CHH22KXF1-KB3VY00D,Colorectal,Endoscopy,valid,KB3V
PA210C0489-J1CHH22NXF2-KB3VY00D,Colorectal,Endoscopy,valid,KB3V
PA210E0527-K1CHH22KXF2-KZ37,Lung,LungImg,train,KA8D
PA210F0673-K1CHH22GXF2-KZ37,Esophagus,Endoscopy,valid,KZ37
PA210N0555-K1CHH22NXF2-KZ37,Esophagus,Endoscopy,train,KZ37
PA210V0542-K1CHH22GXF2-KZ37,Esophagus,Endoscopy,valid,KZ37
PA211B0321-C5CHH22GXF2-KZ37,Esophagus,Endoscopy,valid,KZ37
PA21290364-J1CHH22NXF3-KZ37,Lung,LungImg,valid,KA8D
PA21290398-J1CHH22NXF3-KZ37,Lung,LungImg,valid,KA8D
PA21320319-J1CHH22KXF2-KZ37,Esophagus,Endoscopy,train,KZ37
PA21330106-C5CHH22GXF2-KZ37,Sarcoma,SoftTissue,train,KZ37
PA21330269-J1CHH22KXF3-KZ37,Lung,LungImg,valid,KA8D
PA21390483-K1CHH22GXF2-KZ37,Esophagus,Endoscopy,train,KZ37
PA213N0404-C5CHH22GXF2-KZ37,Esophagus,Endoscopy,train,KZ37
PA213P0444-J1CHH22NXF2-KZ37,Esophagus,Endoscopy,valid,KZ37
PA214K0245-J1CHH22KXF2-KZ37,Lung,LungImg,valid,KA8D
PA214K0424-C5CHH22GXF2-KZ37,Esophagus,Endoscopy,valid,KZ37
PA21630293-C5CHH22GXF2-KZ37,Sarcoma,SoftTissue,valid,KZ37
PA216B0164-C5CHH22GXF2-KZ37,Sarcoma,SoftTissue,train,KZ37
PA216P0260-J1CHH22NXF3-KZ37,Lung,LungImg,train,KA8D
PA216V0501-C5CHH22GXF2-KZ37,Esophagus,Endoscopy,train,KZ37
PA217C0320-C5CHH22GXF2-KZ37,Esophagus,Endoscopy,valid,KZ37
PA217P0429-K1CHH22GXF2-KZ37,Lung,LungImg,valid,KA8D
PA217T0186-K1CHH22GXF2-KZ37,Esophagus,Endoscopy,valid,KZ37
PA217V0830-J1CHH22KXF2-KZ37,Esophagus,Endoscopy,valid,KZ37
PA21820175-J1CHH22KXF2-KAT6Y00D,Prostate,Abdominal,valid,KAT6
PA21820176-J1CHH22KXF2-KAT6Y00D,Prostate,Abdominal,valid,KAT6
PA21820179-J1CHH22KXF2-KAT6Y00D,Prostate,Abdominal,train,KAT6
PA21820181-J1CHH22KXF2-KAT6Y00D,Prostate,Abdominal,valid,KAT6
PA21820184-J1CHH22KXF2-KAT6Y00D,Prostate,Abdominal,valid,KAT6
PA21820187-J1CHH22KXF2-KAT6Y00D,Prostate,Abdominal,valid,KAT6
PA21820191-J1CHH22KXF2-KAT6Y00D,Prostate,Abdominal,valid,KAT6
PA21820192-J1CHH22KXF2-KAT6Y00D,Prostate,Abdominal,valid,KAT6
PA21820193-J1CHH22KXF2-KAT6Y00D,Prostate,Abdominal,train,KAT6
PA21820195-J1CHH22KXF2-KAT6Y00D,Prostate,Abdominal,valid,KAT6
PA21820196-J1CHH22KXF2-KAT6Y00D,Prostate,Abdominal,train,KAT6
PA21820198-J1CHH22KXF2-KAT6Y00D,Prostate,Abdominal,valid,KAT6
PA21820201-J1CHH22KXF2-KAT6Y00D,Prostate,Abdominal,valid,KAT6
PA21820202-J1CHH22KXF2-KAT6Y00D,Prostate,Abdominal,valid,KAT6
PA21820203-J1CHH22KXF2-KAT6Y00D,Prostate,Abdominal,valid,KAT6
PA21820205-J1CHH22KXF2-KAT6Y00D,Prostate,Abdominal,train,KAT6
PA21850141-C5CHH22GXF2-KZ41,Lymphoma,Blood,train,KZ41
PA218L0303-J1CHH22NXF2-KZ37,Lung,LungImg,valid,KA8D
PA218L0442-J1CHH22KXF2-KA8DKZ37,Lung,LungImg,valid,KA8D
PA218T0334-J1CHH22NXF2-KZ37,Esophagus,Endoscopy,valid,KZ37
PA219T0415-J1CHH22KXF2-KZ37,Lung,LungImg,train,KA8D
PA219U0248-C5CHH22GXF2-KZ37,Esophagus,Endoscopy,train,KZ37
PA219U0272-C5CHH22GXF2-KZ37,Esophagus,Endoscopy,train,KZ37
PA219V0342-J1CHH22KXF3-KZ37,Lung,LungImg,train,KA8D
PA21AC0037-K1CHH22GXF2-KZ37,Esophagus,Endoscopy,valid,KZ37
PA21B70286-C5CHH22KXF2-KZ41,Lymphoma,Blood,valid,KZ41
PA21BE0011-C5CHH22KXF2-KZ37,Lung,LungImg,valid,KB5W
PA21BM0292-J1CHH22NXF2-KZ37,Lung,LungImg,valid,KA8D
PA21BQ0311-J1CHH22NXF2-KB3VY00D,Colorectal,Endoscopy,valid,KB3V
PA21BT0574-K1CHH22GXF2-KB01Y00D,Uterus,Abdominal,valid,KB01
PA21BV0622-K1CHH22NXF2-KZ37,Esophagus,Endoscopy,train,KZ37
PA22010228-K1CHH22KXF2-KBARY00D,Colorectal,Endoscopy,valid,KBAR
PA22010236-K1CHH22GXF2-KBARY00D,Colorectal,Endoscopy,train,KBAR
PA22010244-K1CHH22GXF2-KBARY00D,Colorectal,Endoscopy,valid,KBAR
PA22010248-K1CHH22GXF2-KBARY00D,Colorectal,Endoscopy,valid,KBAR
PA22010250-K1CHH22KXF2-KBARY00D,Colorectal,Endoscopy,valid,KBAR
PA22010255-K1CHH22GXF2-KBARY00D,Colorectal,Endoscopy,train,KBAR
PA22010257-K1CHH22KXF2-KBARY00D,Colorectal,Endoscopy,valid,KBAR
PA22010258-K1CHH22KXF2-KBARY00D,Colorectal,Endoscopy,valid,KBAR
PA22010259-K1CHH22KXF2-KBARY00D,Colorectal,Endoscopy,valid,KBAR
PA22010262-K1CHH22KXF2-KBARY00D,Colorectal,Endoscopy,train,KBAR
